host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2011,2,1.5,1,1,NA,105,575,2500,NA,NA,1,29,81,No,100
2012,6,2.5,4,4,NA,70,NA,NA,0,50,1,1125,0,Yes,90
2013,3,1,2,2,NA,90,850,2950,100,40,2,30,0,Yes,100
2009,1,1,1,1,NA,26,175,700,NA,NA,90,365,1,No,100
2013,4,1,2,2,NA,135,760,NA,500,39,2,1125,0,No,100
2012,2,1,1,2,NA,99,NA,NA,NA,NA,1,5,81,No,100
2011,6,1,2,2,NA,275,NA,NA,500,130,2,1125,0,Yes,100
2011,2,1.5,1,1,NA,99,525,2200,100,NA,1,29,80,No,100
2013,2,1,1,1,NA,150,1000,NA,300,NA,7,90,5,No,83
2012,4,1,2,3,NA,130,1200,4200,400,60,3,60,54,No,100
2011,4,1,1,2,NA,167,NA,NA,500,105,2,1125,52,Yes,100
2013,3,1,1,1,NA,89,750,2700,100,35,1,1125,0,No,NA
2013,2,1,1,1,450,165,1100,3100,0,65,2,365,13,No,100
2011,5,1,1,2,NA,200,NA,NA,0,40,3,14,17,No,100
2012,3,2,2,2,NA,450,3250,11000,500,120,7,14,89,No,100
2013,5,1,1,4,NA,139,NA,3270,0,85,2,365,23,Yes,100
2013,4,2,2,2,1500,178,1250,4000,0,75,5,30,4,No,100
2012,2,1,1,1,NA,145,506,1785,150,50,2,1125,5,Yes,99
2011,2,1,1,1,NA,99,649,2190,150,NA,3,1125,0,No,NA
2013,2,1,1,1,NA,200,NA,NA,NA,50,2,365,0,No,NA
2013,2,1,0,1,NA,160,NA,3100,400,225,30,1122,25,Yes,100
2013,3,1,1,1,NA,199,NA,NA,NA,40,1,5,0,No,NA
2012,2,1,1,1,NA,79,450,1500,NA,20,3,20,64,No,88
2013,6,2.5,3,4,NA,230,NA,NA,100,40,4,30,0,No,100
2012,2,1,1,1,NA,375,1800,9500,100,55,3,180,90,No,100
2013,4,2,1,2,NA,76,NA,NA,100,25,1,300,5,Yes,100
2013,4,1,2,2,NA,147,875,3087,200,75,3,1125,17,No,100
2013,1,2,1,1,NA,47,NA,NA,100,20,1,100,0,Yes,100
2012,2,1,1,1,NA,175,1000,4000,NA,75,3,60,0,No,100
2011,6,1,2,3,NA,265,NA,NA,500,130,2,1125,46,Yes,100
2013,2,1,1,1,NA,80,375,NA,100,25,2,14,21,No,80
2011,4,1,1,2,NA,50,NA,NA,0,10,1,30,23,No,100
2010,1,1,1,1,NA,75,NA,875,NA,NA,7,190,1,Yes,100
2010,1,1,1,1,NA,75,NA,950,NA,NA,5,180,4,Yes,100
2013,4,1,2,2,NA,399,NA,NA,NA,100,7,365,90,No,NA
2010,2,1.5,1,1,NA,40,NA,NA,100,20,1,1125,42,Yes,99
2010,1,1,1,1,NA,70,NA,1025,0,0,28,120,32,Yes,100
2011,6,3,3,3,NA,350,NA,NA,350,NA,2,1125,87,No,100
2013,5,1,2,4,NA,160,1000,3500,300,25,3,14,51,No,90
2013,2,1,1,1,NA,99,NA,3270,0,75,2,365,29,Yes,100
2013,1,1,1,1,NA,77,NA,NA,0,20,1,12,47,No,100
2013,2,2.5,1,1,NA,80,NA,NA,NA,NA,1,1125,51,No,100
2013,2,1,1,1,NA,70,520,2000,150,25,2,1125,46,No,90
2013,3,2,1,2,NA,75,NA,NA,100,25,1,1125,11,Yes,100
2013,3,1,1,2,NA,83,NA,NA,100,25,1,1125,5,Yes,100
2013,2,1,1,1,NA,125,NA,NA,150,25,2,1125,1,No,100
2013,1,1,1,1,200,75,499,1499,200,50,3,1125,88,No,100
2013,2,1,0,1,NA,325,1800,NA,300,100,3,1125,88,No,100
2013,1,2.5,1,1,NA,60,NA,NA,0,10,1,1125,16,No,100
2013,1,1,1,1,NA,120,900,3200,500,300,30,365,90,No,100
2011,2,1,0,1,NA,119,600,NA,200,50,2,364,6,No,100
2013,4,2,2,2,NA,350,NA,NA,500,200,1,30,78,No,100
2013,3,2,1,2,NA,77,NA,NA,100,25,1,120,5,Yes,100
2011,4,1,1,2,NA,140,916,2500,200,100,1,90,40,Yes,100
2011,8,2,3,3,NA,330,NA,NA,500,130,2,1125,2,Yes,100
2011,4,1,2,2,NA,150,850,NA,NA,50,2,1125,50,No,80
2013,4,1,2,3,NA,225,2017,7119,NA,NA,4,14,66,No,100
2013,2,1,2,1,NA,175,NA,NA,NA,NA,3,15,0,No,NA
2013,3,2,1,2,NA,63,NA,NA,100,25,1,1125,3,Yes,100
2012,7,1.5,4,3,NA,299,999,NA,NA,NA,2,1125,1,No,88
2012,2,1,0,1,NA,110,995,2800,1250,175,30,365,75,Yes,100
2011,7,2,2,5,NA,450,NA,NA,0,145,2,1124,29,No,100
2013,2,2,1,1,NA,78,NA,NA,0,0,6,1124,31,No,100
2012,2,1,1,1,NA,70,NA,NA,NA,45,2,1125,0,Yes,90
2012,2,1,1,1,NA,115,800,2800,NA,45,1,1000,11,Yes,100
2011,10,3.5,4,7,NA,650,3000,NA,NA,125,2,3,0,No,NA
2012,2,1,1,1,NA,107,NA,NA,250,95,5,112,0,No,100
